Limb,Time,Value
LEFT_ARM,1625019378780000000,1.2155205E7
LEFT_ARM,1625019378813332968,1.2159821E7
LEFT_ARM,1625019378846665937,1.2162576E7
LEFT_ARM,1625019378879998906,1.2165076E7
LEFT_ARM,1625019378913331875,1.2172445E7
LEFT_ARM,1625019378946664843,1.2178733E7
LEFT_ARM,1625019378979997812,1.2185253E7
LEFT_ARM,1625019379013330781,1.2193715E7
LEFT_ARM,1625019379046663750,1.2201132E7
LEFT_ARM,1625019379079996718,1.2211733E7
LEFT_ARM,1625019379113329687,1.2219741E7
LEFT_ARM,1625019379146662656,1.2229631E7
LEFT_ARM,1625019379179995625,1.2242603E7
LEFT_ARM,1625019379213328593,1.2250239E7
LEFT_ARM,1625019379246661562,1.2262037E7
LEFT_ARM,1625019379279994531,1.2272787E7
LEFT_ARM,1625019379313327500,1.228612E7
LEFT_ARM,1625019379346660468,1.2298259E7
LEFT_ARM,1625019379379993437,1.2310593E7
LEFT_ARM,1625019379413326406,1.2316373E7
LEFT_ARM,1625019379446659375,1.230274E7
LEFT_ARM,1625019379479992343,1.2280656E7
LEFT_ARM,1625019379513325312,1.2254591E7
LEFT_ARM,1625019379546658281,1.2236163E7
LEFT_ARM,1625019379579991250,1.2218729E7
LEFT_ARM,1625019379613324218,1.2206248E7
LEFT_ARM,1625019379646657187,1.2190663E7
LEFT_ARM,1625019379679990156,1.2181833E7
LEFT_ARM,1625019379713323125,1.2177941E7
LEFT_ARM,1625019379746656093,1.2176612E7
LEFT_ARM,1625019379779989062,1.2174883E7
LEFT_ARM,1625019379813322031,1.2170305E7
LEFT_ARM,1625019379846655000,1.2171867E7
LEFT_ARM,1625019379879987968,1.2174624E7
LEFT_ARM,1625019379913320937,1.2174919E7
LEFT_ARM,1625019379946653906,1.2180603E7
LEFT_ARM,1625019379979986875,1.2187935E7
LEFT_ARM,1625019380013319843,1.2192784E7
LEFT_ARM,1625019380046652812,1.2199129E7
LEFT_ARM,1625019380079985781,1.2205033E7
LEFT_ARM,1625019380113318750,1.2212565E7
LEFT_ARM,1625019380146651718,1.2221972E7
LEFT_ARM,1625019380179984687,1.2229952E7
LEFT_ARM,1625019380213317656,1.2238687E7
LEFT_ARM,1625019380246650625,1.2247731E7
LEFT_ARM,1625019380279983593,1.2254755E7
LEFT_ARM,1625019380313316562,1.2264232E7
LEFT_ARM,1625019380346649531,1.2274973E7
LEFT_ARM,1625019380379982500,1.2285092E7
LEFT_ARM,1625019380413315468,1.2294268E7
