Limb,Time,Value
LEFT_ARM,1625020658811000000,1.4994708E7
LEFT_ARM,1625020658844332968,1.499924E7
LEFT_ARM,1625020658877665937,1.5010021E7
LEFT_ARM,1625020658910998906,1.5014768E7
LEFT_ARM,1625020658944331875,1.5021648E7
LEFT_ARM,1625020658977664843,1.5031224E7
LEFT_ARM,1625020659010997812,1.5042371E7
LEFT_ARM,1625020659044330781,1.5050288E7
LEFT_ARM,1625020659077663750,1.505908E7
LEFT_ARM,1625020659110996718,1.5073104E7
LEFT_ARM,1625020659144329687,1.5087589E7
LEFT_ARM,1625020659177662656,1.509634E7
LEFT_ARM,1625020659210995625,1.5110813E7
LEFT_ARM,1625020659244328593,1.5124537E7
LEFT_ARM,1625020659277661562,1.5139561E7
LEFT_ARM,1625020659310994531,1.5154285E7
LEFT_ARM,1625020659344327500,1.5158437E7
LEFT_ARM,1625020659377660468,1.5139017E7
LEFT_ARM,1625020659410993437,1.5093573E7
LEFT_ARM,1625020659444326406,1.5044423E7
LEFT_ARM,1625020659477659375,1.4999128E7
LEFT_ARM,1625020659510992343,1.4963807E7
LEFT_ARM,1625020659544325312,1.4925579E7
LEFT_ARM,1625020659577658281,1.4896303E7
LEFT_ARM,1625020659610991250,1.4873861E7
LEFT_ARM,1625020659644324218,1.4866567E7
LEFT_ARM,1625020659677657187,1.4863327E7
LEFT_ARM,1625020659710990156,1.4860763E7
LEFT_ARM,1625020659744323125,1.4858059E7
LEFT_ARM,1625020659777656093,1.4852285E7
LEFT_ARM,1625020659810989062,1.4854277E7
LEFT_ARM,1625020659844322031,1.4859152E7
LEFT_ARM,1625020659877655000,1.4866403E7
LEFT_ARM,1625020659910987968,1.4874132E7
LEFT_ARM,1625020659944320937,1.488248E7
LEFT_ARM,1625020659977653906,1.4892343E7
LEFT_ARM,1625020660010986875,1.4903E7
LEFT_ARM,1625020660044319843,1.4906929E7
LEFT_ARM,1625020660077652812,1.4918972E7
LEFT_ARM,1625020660110985781,1.4933568E7
LEFT_ARM,1625020660144318750,1.4947301E7
LEFT_ARM,1625020660177651718,1.4956985E7
LEFT_ARM,1625020660210984687,1.4973259E7
LEFT_ARM,1625020660244317656,1.4990725E7
LEFT_ARM,1625020660277650625,1.5002859E7
LEFT_ARM,1625020660310983593,1.5014595E7
LEFT_ARM,1625020660344316562,1.5028116E7
LEFT_ARM,1625020660377649531,1.5042044E7
LEFT_ARM,1625020660410982500,1.5058748E7
