Limb,Time,Value
LEFT_ARM,1625020809910000000,1.6045181E7
LEFT_ARM,1625020809943332968,1.6035665E7
LEFT_ARM,1625020809976665937,1.6031995E7
LEFT_ARM,1625020810009998906,1.6024915E7
LEFT_ARM,1625020810043331875,1.6018673E7
LEFT_ARM,1625020810076664843,1.6021113E7
LEFT_ARM,1625020810109997812,1.6029941E7
LEFT_ARM,1625020810143330781,1.6039215E7
LEFT_ARM,1625020810176663750,1.6045732E7
LEFT_ARM,1625020810209996718,1.6049923E7
LEFT_ARM,1625020810243329687,1.605352E7
LEFT_ARM,1625020810276662656,1.6061693E7
LEFT_ARM,1625020810309995625,1.6078965E7
LEFT_ARM,1625020810343328593,1.6094256E7
LEFT_ARM,1625020810376661562,1.6104011E7
LEFT_ARM,1625020810409994531,1.6118184E7
LEFT_ARM,1625020810443327500,1.6128348E7
LEFT_ARM,1625020810476660468,1.6139135E7
LEFT_ARM,1625020810509993437,1.6159636E7
LEFT_ARM,1625020810543326406,1.6177713E7
LEFT_ARM,1625020810576659375,1.6187501E7
LEFT_ARM,1625020810609992343,1.6200299E7
LEFT_ARM,1625020810643325312,1.6218341E7
LEFT_ARM,1625020810676658281,1.6226671E7
LEFT_ARM,1625020810709991250,1.6236395E7
LEFT_ARM,1625020810743324218,1.6242312E7
LEFT_ARM,1625020810776657187,1.6256867E7
LEFT_ARM,1625020810809990156,1.6271781E7
LEFT_ARM,1625020810843323125,1.6282105E7
LEFT_ARM,1625020810876656093,1.6285052E7
LEFT_ARM,1625020810909989062,1.6267484E7
LEFT_ARM,1625020810943322031,1.6222053E7
LEFT_ARM,1625020810976655000,1.6170331E7
LEFT_ARM,1625020811009987968,1.6123928E7
LEFT_ARM,1625020811043320937,1.6083884E7
LEFT_ARM,1625020811076653906,1.6047837E7
LEFT_ARM,1625020811109986875,1.60132E7
LEFT_ARM,1625020811143319843,1.5988885E7
LEFT_ARM,1625020811176652812,1.5977553E7
LEFT_ARM,1625020811209985781,1.597152E7
LEFT_ARM,1625020811243318750,1.5969256E7
LEFT_ARM,1625020811276651718,1.5969991E7
LEFT_ARM,1625020811309984687,1.5971981E7
LEFT_ARM,1625020811343317656,1.5967597E7
LEFT_ARM,1625020811376650625,1.5977489E7
LEFT_ARM,1625020811409983593,1.5988912E7
LEFT_ARM,1625020811443316562,1.5997271E7
LEFT_ARM,1625020811476649531,1.6007465E7
LEFT_ARM,1625020811509982500,1.6019208E7
LEFT_ARM,1625020811543315468,1.6030424E7
LEFT_ARM,1625020811576648437,1.6038612E7
LEFT_ARM,1625020811609981406,1.6049717E7
LEFT_ARM,1625020811643314375,1.6056551E7
LEFT_ARM,1625020811676647343,1.6064185E7
LEFT_ARM,1625020811709980312,1.6079083E7
LEFT_ARM,1625020811743313281,1.6091425E7
LEFT_ARM,1625020811776646250,1.609746E7
LEFT_ARM,1625020811809979218,1.6109485E7
LEFT_ARM,1625020811843312187,1.6128028E7
LEFT_ARM,1625020811876645156,1.6139136E7
LEFT_ARM,1625020811909978125,1.6153639E7
LEFT_ARM,1625020811943311093,1.6166673E7
LEFT_ARM,1625020811976644062,1.6183211E7
LEFT_ARM,1625020812009977031,1.6186728E7
LEFT_ARM,1625020812043310000,1.6169099E7
LEFT_ARM,1625020812076642968,1.6125683E7
LEFT_ARM,1625020812109975937,1.6069299E7
LEFT_ARM,1625020812143308906,1.6014407E7
LEFT_ARM,1625020812176641875,1.5969667E7
LEFT_ARM,1625020812209974843,1.5929376E7
LEFT_ARM,1625020812243307812,1.5894916E7
LEFT_ARM,1625020812276640781,1.5863409E7
LEFT_ARM,1625020812309973750,1.5853449E7
LEFT_ARM,1625020812343306718,1.5849795E7
LEFT_ARM,1625020812376639687,1.5847101E7
LEFT_ARM,1625020812409972656,1.5841444E7
LEFT_ARM,1625020812443305625,1.5840641E7
LEFT_ARM,1625020812476638593,1.5842932E7
LEFT_ARM,1625020812509971562,1.5845777E7
LEFT_ARM,1625020812543304531,1.5852975E7
LEFT_ARM,1625020812576637500,1.586268E7
LEFT_ARM,1625020812609970468,1.5870957E7
LEFT_ARM,1625020812643303437,1.5885043E7
LEFT_ARM,1625020812676636406,1.5897564E7
LEFT_ARM,1625020812709969375,1.5903421E7
LEFT_ARM,1625020812743302343,1.5912712E7
LEFT_ARM,1625020812776635312,1.5928288E7
LEFT_ARM,1625020812809968281,1.5939488E7
LEFT_ARM,1625020812843301250,1.5947136E7
LEFT_ARM,1625020812876634218,1.5959957E7
LEFT_ARM,1625020812909967187,1.5972672E7
LEFT_ARM,1625020812943300156,1.5988064E7
LEFT_ARM,1625020812976633125,1.6002424E7
LEFT_ARM,1625020813009966093,1.6018757E7
LEFT_ARM,1625020813043299062,1.6030364E7
LEFT_ARM,1625020813076632031,1.6048152E7
LEFT_ARM,1625020813109965000,1.6064224E7
LEFT_ARM,1625020813143297968,1.60788E7
LEFT_ARM,1625020813176630937,1.6086819E7
