Limb,Time,Value
LEFT_ARM,1625019905087000000,1.1417432E7
LEFT_ARM,1625019905120332969,1.1450203E7
LEFT_ARM,1625019905153665938,1.1484856E7
LEFT_ARM,1625019905186998906,1.1525417E7
LEFT_ARM,1625019905220331875,1.1560845E7
LEFT_ARM,1625019905253664844,1.1625644E7
LEFT_ARM,1625019905286997813,1.1702576E7
LEFT_ARM,1625019905320330781,1.1760469E7
LEFT_ARM,1625019905353663750,1.1821245E7
LEFT_ARM,1625019905386996719,1.1900381E7
LEFT_ARM,1625019905420329688,1.1967877E7
LEFT_ARM,1625019905453662656,1.2037375E7
LEFT_ARM,1625019905486995625,1.2092163E7
LEFT_ARM,1625019905520328594,1.2132832E7
LEFT_ARM,1625019905553661563,1.2160203E7
LEFT_ARM,1625019905586994531,1.2193173E7
LEFT_ARM,1625019905620327500,1.2237444E7
LEFT_ARM,1625019905653660469,1.2262896E7
LEFT_ARM,1625019905686993438,1.2270789E7
LEFT_ARM,1625019905720326406,1.2270521E7
LEFT_ARM,1625019905753659375,1.2264581E7
LEFT_ARM,1625019905786992344,1.2270664E7
LEFT_ARM,1625019905820325313,1.2272941E7
LEFT_ARM,1625019905853658281,1.2284243E7
LEFT_ARM,1625019905886991175,1.2297632E7
LEFT_ARM,1625019905920324144,1.2298468E7
LEFT_ARM,1625019905953657113,1.2295648E7
LEFT_ARM,1625019905986990081,1.2300312E7
LEFT_ARM,1625019906020323050,1.2302125E7
LEFT_ARM,1625019906053656019,1.2299735E7
LEFT_ARM,1625019906086988988,1.2286032E7
LEFT_ARM,1625019906120321956,1.2261733E7
LEFT_ARM,1625019906153654925,1.2240483E7
LEFT_ARM,1625019906186987894,1.2226043E7
LEFT_ARM,1625019906220320863,1.2214752E7
LEFT_ARM,1625019906253653831,1.2200033E7
LEFT_ARM,1625019906286986800,1.2189109E7
LEFT_ARM,1625019906320319769,1.2188956E7
LEFT_ARM,1625019906353652738,1.2184905E7
LEFT_ARM,1625019906386985706,1.2177463E7
LEFT_ARM,1625019906420318675,1.2170548E7
LEFT_ARM,1625019906453651644,1.2166151E7
LEFT_ARM,1625019906486984613,1.2163291E7
LEFT_ARM,1625019906520317581,1.2156947E7
LEFT_ARM,1625019906553650550,1.2153808E7
LEFT_ARM,1625019906586983519,1.215084E7
LEFT_ARM,1625019906620316488,1.2144839E7
LEFT_ARM,1625019906653649456,1.2131929E7
LEFT_ARM,1625019906686982425,1.21151E7
LEFT_ARM,1625019906720315394,1.2097579E7
LEFT_ARM,1625019906753648363,1.2081903E7
LEFT_ARM,1625019906786981331,1.2061659E7
LEFT_ARM,1625019906820314300,1.2041047E7
LEFT_ARM,1625019906853647269,1.2026029E7
LEFT_ARM,1625019906886980238,1.2008524E7
LEFT_ARM,1625019906920313206,1.1982336E7
LEFT_ARM,1625019906953646175,1.1950347E7
LEFT_ARM,1625019906986979144,1.192554E7
LEFT_ARM,1625019907020312113,1.1895899E7
LEFT_ARM,1625019907053645081,1.1860548E7
LEFT_ARM,1625019907086978050,1.1830611E7
LEFT_ARM,1625019907120311019,1.1804343E7
LEFT_ARM,1625019907153643988,1.1775975E7
LEFT_ARM,1625019907186976956,1.1752569E7
LEFT_ARM,1625019907220309925,1.1727821E7
LEFT_ARM,1625019907253642894,1.1701661E7
LEFT_ARM,1625019907286975863,1.1666645E7
LEFT_ARM,1625019907320308831,1.1620963E7
LEFT_ARM,1625019907353641800,1.1570716E7
LEFT_ARM,1625019907386974769,1.152088E7
LEFT_ARM,1625019907420307738,1.1472087E7
LEFT_ARM,1625019907453640706,1.1426715E7
LEFT_ARM,1625019907486973675,1.1386187E7
LEFT_ARM,1625019907520306644,1.1348951E7
LEFT_ARM,1625019907553639613,1.1315851E7
LEFT_ARM,1625019907586972581,1.1290588E7
LEFT_ARM,1625019907620305550,1.1262888E7
LEFT_ARM,1625019907653638519,1.1239104E7
LEFT_ARM,1625019907686971488,1.1224485E7
LEFT_ARM,1625019907720304456,1.1205909E7
LEFT_ARM,1625019907753637425,1.1191435E7
LEFT_ARM,1625019907786970394,1.1179857E7
LEFT_ARM,1625019907820303363,1.1167731E7
LEFT_ARM,1625019907853636331,1.1155303E7
LEFT_ARM,1625019907886969300,1.1149577E7
LEFT_ARM,1625019907920302269,1.1141665E7
LEFT_ARM,1625019907953635238,1.11371E7
LEFT_ARM,1625019907986968206,1.1127213E7
LEFT_ARM,1625019908020301175,1.1121085E7
LEFT_ARM,1625019908053634144,1.1115714E7
LEFT_ARM,1625019908086967113,1.1108947E7
LEFT_ARM,1625019908120300081,1.1101559E7
LEFT_ARM,1625019908153633050,1.1097261E7
LEFT_ARM,1625019908186966019,1.109428E7
LEFT_ARM,1625019908220298988,1.1090059E7
LEFT_ARM,1625019908253631956,1.1084689E7
LEFT_ARM,1625019908286964925,1.1082509E7
LEFT_ARM,1625019908320297894,1.1080239E7
LEFT_ARM,1625019908353630863,1.1078817E7
LEFT_ARM,1625019908386963831,1.1076771E7
LEFT_ARM,1625019908420296800,1.1070499E7
LEFT_ARM,1625019908453629769,1.1049861E7
LEFT_ARM,1625019908486962738,1.1021047E7
LEFT_ARM,1625019908520295706,1.0992209E7
LEFT_ARM,1625019908553628675,1.0970451E7
LEFT_ARM,1625019908586961644,1.095535E7
LEFT_ARM,1625019908620294613,1.0945242E7
LEFT_ARM,1625019908653627581,1.0933023E7
LEFT_ARM,1625019908686960550,1.0925089E7
LEFT_ARM,1625019908720293519,1.0922372E7
LEFT_ARM,1625019908753626488,1.0918533E7
LEFT_ARM,1625019908786959456,1.0909999E7
LEFT_ARM,1625019908820292425,1.0904803E7
LEFT_ARM,1625019908853625394,1.0898075E7
LEFT_ARM,1625019908886958363,1.0894291E7
LEFT_ARM,1625019908920291331,1.0888239E7
LEFT_ARM,1625019908953624300,1.0885072E7
LEFT_ARM,1625019908986957269,1.0885385E7
LEFT_ARM,1625019909020290238,1.0882477E7
LEFT_ARM,1625019909053623206,1.088144E7
LEFT_ARM,1625019909086956175,1.0878252E7
LEFT_ARM,1625019909120289144,1.0879116E7
LEFT_ARM,1625019909153622113,1.0878018E7
LEFT_ARM,1625019909186955081,1.0876399E7
LEFT_ARM,1625019909220288050,1.0876568E7
LEFT_ARM,1625019909253621019,1.0877015E7
LEFT_ARM,1625019909286953988,1.0877328E7
LEFT_ARM,1625019909320286956,1.0880111E7
LEFT_ARM,1625019909353619925,1.088156E7
LEFT_ARM,1625019909386952894,1.0882791E7
LEFT_ARM,1625019909420285863,1.0882927E7
LEFT_ARM,1625019909453618831,1.0881375E7
LEFT_ARM,1625019909486951800,1.0885868E7
LEFT_ARM,1625019909520284769,1.08855E7
LEFT_ARM,1625019909553617738,1.0878622E7
LEFT_ARM,1625019909586950706,1.0854743E7
LEFT_ARM,1625019909620283675,1.0830729E7
LEFT_ARM,1625019909653616644,1.0810323E7
LEFT_ARM,1625019909686949613,1.0793942E7
LEFT_ARM,1625019909720282581,1.078134E7
LEFT_ARM,1625019909753615550,1.0767534E7
LEFT_ARM,1625019909786948519,1.0759023E7
LEFT_ARM,1625019909820281488,1.0756432E7
LEFT_ARM,1625019909853614456,1.0753288E7
LEFT_ARM,1625019909886947425,1.0746156E7
LEFT_ARM,1625019909920280394,1.074289E7
LEFT_ARM,1625019909953613363,1.0740295E7
LEFT_ARM,1625019909986946331,1.0734675E7
LEFT_ARM,1625019910020279300,1.0734499E7
LEFT_ARM,1625019910053612269,1.0734253E7
LEFT_ARM,1625019910086945238,1.0733879E7
LEFT_ARM,1625019910120278206,1.0733324E7
LEFT_ARM,1625019910153611175,1.0734224E7
LEFT_ARM,1625019910186944144,1.0733393E7
LEFT_ARM,1625019910220277113,1.0734793E7
LEFT_ARM,1625019910253610081,1.0736847E7
LEFT_ARM,1625019910286943050,1.0735564E7
LEFT_ARM,1625019910320276019,1.0737533E7
LEFT_ARM,1625019910353608988,1.0739828E7
LEFT_ARM,1625019910386941956,1.0741817E7
LEFT_ARM,1625019910420274925,1.0743427E7
LEFT_ARM,1625019910453607894,1.0745955E7
LEFT_ARM,1625019910486940863,1.0748589E7
LEFT_ARM,1625019910520273831,1.075259E7
LEFT_ARM,1625019910553606800,1.0751823E7
LEFT_ARM,1625019910586939769,1.0754937E7
LEFT_ARM,1625019910620272738,1.0756668E7
LEFT_ARM,1625019910653605706,1.0759287E7
LEFT_ARM,1625019910686938675,1.0754437E7
LEFT_ARM,1625019910720271644,1.0739464E7
LEFT_ARM,1625019910753604613,1.0719056E7
LEFT_ARM,1625019910786937581,1.0697947E7
LEFT_ARM,1625019910820270550,1.0679763E7
LEFT_ARM,1625019910853603519,1.0664404E7
LEFT_ARM,1625019910886936488,1.0655559E7
LEFT_ARM,1625019910920269456,1.0648843E7
LEFT_ARM,1625019910953602425,1.0644431E7
LEFT_ARM,1625019910986935394,1.0639629E7
