Limb,Time,Value
LEFT_ARM,1624931567144000000,2.1088924E7
LEFT_ARM,1624931567177332969,2.108772E7
LEFT_ARM,1624931567210665937,2.1080604E7
LEFT_ARM,1624931567243998906,2.1085868E7
LEFT_ARM,1624931567277331875,2.108875E7
LEFT_ARM,1624931567310664844,2.1092208E7
LEFT_ARM,1624931567343997812,2.1093114E7
LEFT_ARM,1624931567377330781,2.1093398E7
LEFT_ARM,1624931567410663750,2.1096368E7
LEFT_ARM,1624931567443996719,2.1096862E7
LEFT_ARM,1624931567477329687,2.1107898E7
LEFT_ARM,1624931567510662656,2.1113056E7
LEFT_ARM,1624931567543995625,2.1111686E7
LEFT_ARM,1624931567577328594,2.1118566E7
LEFT_ARM,1624931567610661562,2.1124128E7
LEFT_ARM,1624931567643994531,2.1125136E7
LEFT_ARM,1624931567677327500,2.1125242E7
LEFT_ARM,1624931567710660469,2.1105082E7
LEFT_ARM,1624931567743993437,2.1066528E7
LEFT_ARM,1624931567777326406,2.1025504E7
LEFT_ARM,1624931567810659375,2.0979192E7
LEFT_ARM,1624931567843992344,2.0945824E7
LEFT_ARM,1624931567877325312,2.0904242E7
LEFT_ARM,1624931567910658281,2.0873178E7
LEFT_ARM,1624931567943991250,2.0854938E7
LEFT_ARM,1624931567977324219,2.084307E7
LEFT_ARM,1624931568010657187,2.0828828E7
LEFT_ARM,1624931568043990156,2.0813056E7
LEFT_ARM,1624931568077323125,2.0795874E7
LEFT_ARM,1624931568110656094,2.0785248E7
LEFT_ARM,1624931568143989062,2.0776722E7
LEFT_ARM,1624931568177322031,2.0771514E7
LEFT_ARM,1624931568210655000,2.0762202E7
LEFT_ARM,1624931568243987969,2.0756224E7
LEFT_ARM,1624931568277320937,2.075055E7
LEFT_ARM,1624931568310653906,2.075225E7
LEFT_ARM,1624931568343986875,2.0749424E7
LEFT_ARM,1624931568377319844,2.0741458E7
LEFT_ARM,1624931568410652812,2.0743152E7
LEFT_ARM,1624931568443985781,2.0738834E7
LEFT_ARM,1624931568477318750,2.0730674E7
LEFT_ARM,1624931568510651719,2.073215E7
LEFT_ARM,1624931568543984687,2.0737924E7
LEFT_ARM,1624931568577317656,2.0742738E7
LEFT_ARM,1624931568610650625,2.074062E7
LEFT_ARM,1624931568643983594,2.0740006E7
LEFT_ARM,1624931568677316562,2.0735182E7
LEFT_ARM,1624931568710649531,2.0713382E7
LEFT_ARM,1624931568743982500,2.067955E7
LEFT_ARM,1624931568777315469,2.0642776E7
LEFT_ARM,1624931568810648437,2.0610986E7
LEFT_ARM,1624931568843981406,2.0586486E7
LEFT_ARM,1624931568877314375,2.056601E7
LEFT_ARM,1624931568910647344,2.0548548E7
LEFT_ARM,1624931568943980312,2.0535784E7
LEFT_ARM,1624931568977313281,2.0522118E7
LEFT_ARM,1624931569010646250,2.0506528E7
LEFT_ARM,1624931569043979219,2.049551E7
LEFT_ARM,1624931569077312187,2.048757E7
LEFT_ARM,1624931569110645156,2.0474028E7
LEFT_ARM,1624931569143978125,2.047231E7
LEFT_ARM,1624931569177311094,2.0460614E7
LEFT_ARM,1624931569210644062,2.0454246E7
LEFT_ARM,1624931569243977031,2.044408E7
LEFT_ARM,1624931569277310000,2.0436214E7
LEFT_ARM,1624931569310642969,2.0431794E7
LEFT_ARM,1624931569343975937,2.043346E7
LEFT_ARM,1624931569377308906,2.042085E7
LEFT_ARM,1624931569410641875,2.0417728E7
LEFT_ARM,1624931569443974844,2.0422194E7
LEFT_ARM,1624931569477307812,2.041565E7
LEFT_ARM,1624931569510640781,2.0417034E7
LEFT_ARM,1624931569543973750,2.042289E7
LEFT_ARM,1624931569577306719,2.0423542E7
LEFT_ARM,1624931569610639687,2.0421368E7
LEFT_ARM,1624931569643972656,2.0404094E7
LEFT_ARM,1624931569677305625,2.0376388E7
LEFT_ARM,1624931569710638594,2.034643E7
LEFT_ARM,1624931569743971562,2.0319162E7
LEFT_ARM,1624931569777304531,2.0299906E7
LEFT_ARM,1624931569810637500,2.0282352E7
LEFT_ARM,1624931569843970469,2.0267198E7
LEFT_ARM,1624931569877303437,2.0260666E7
